gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.008G250300	6.398E+00	1.907E+02	3.182E-01	9.160E+01	1.206E+01	3.513E+01	9.740E+01	3.559E+01	1.142E+02	2.107E-01	1.218E+02
Phvul.008G250400	6.407E+00	2.946E+01	3.202E+01	1.493E+01	8.083E-02	3.673E+01	4.565E+00	1.889E-01	3.111E+01	1.556E+01	1.659E-01
Phvul.008G250500	1.293E+00	5.571E-01	1.484E+00	8.115E+00	2.316E-01	0.000E+00	0.000E+00	6.030E-01	8.160E+00	3.165E+00	0.000E+00
Phvul.008G250600	7.570E+01	1.281E-06	0.000E+00	2.144E+01	4.448E+00	2.489E-02	6.748E-02	2.029E+00	4.817E-02	1.017E-01	7.179E-02
Phvul.008G250700	2.177E+01	4.006E-01	4.486E-01	3.280E+00	2.770E+00	2.919E+00	1.360E+01	4.180E+00	5.828E-01	0.000E+00	1.372E+01
Phvul.008G250800	5.958E+00	3.529E+00	2.369E+00	4.065E+00	4.798E+00	5.332E+00	7.674E+00	4.715E+00	4.780E+00	3.783E+00	8.427E+00
Phvul.008G250900	1.747E+00	2.631E+00	4.511E+00	1.406E+00	3.689E+00	4.550E+00	4.301E+00	2.191E+00	6.487E+00	4.391E+00	5.690E+00
Phvul.008G251000	0.000E+00	4.352E-02	0.000E+00	0.000E+00	0.000E+00	1.644E+02	2.212E+01	8.838E-02	2.284E-02	0.000E+00	1.514E+01
Phvul.008G251100	2.170E+01	3.250E+01	1.644E+01	2.759E+01	1.881E+01	2.567E+01	2.038E+01	2.436E+01	1.626E+01	1.774E+01	2.335E+01
Phvul.008G251200	2.399E+00	3.680E+00	5.027E+00	3.347E+00	3.575E+00	7.715E+00	7.901E+00	4.037E+00	4.505E+00	4.561E+00	8.833E+00
